Name,Number1,Number2,Number3,Number4
Ali Ahmed,9876543210,6234567890,8765432109,7012345678
Sara Khan,6398765432,9845671230,7234567891,8345678901
Raj Patel,8901234567,6512345678,9123456789,6712345678
Priya Singh,7845612390,6678901234,9012345678,8234567890
Mohan Das,9234567812,8123456789,6345678901,7345678901
Zara Begum,6456789012,6789012345,9456789012,8456789013
Arun Kumar,7890123456,9567890123,6567890124,8567890125
Fatima Noor,8678901236,6678901237,7678901238,9678901239
Deepak Sharma,6789012340,9789012341,8789012342,7789012343
Neha Verma,9890123454,6890123455,8890123456,7890123457
